TC_ID,Test Category,Test Case Description,lat,lng,accuracy,name,phone_number,address,types,website,language,API Key,Content-Type,Expected Status Code,Expected Behavior
TC_030,Negative,JSON null value for name (not the string null),-38.383494,33.427362,50,null,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - name cannot be null. Note: send as JSON null not the string literal
TC_031,Negative,Types as string instead of array,-38.383494,33.427362,50,Test Place,(+91) 999 999 9999,Test Address,shop,http://test.com,en-US,qaclick123,application/json,400,Error - types must be an array
TC_032,Negative,Types as empty array,-38.383494,33.427362,50,Test Place,(+91) 999 999 9999,Test Address,[],http://test.com,en-US,qaclick123,application/json,400,Error - types array cannot be empty
TC_033,Negative,Invalid website URL format,-38.383494,33.427362,50,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",not-a-url,en-US,qaclick123,application/json,400,Error - invalid website URL format
TC_034,Negative,JSON boolean value for name (unquoted true in body),-38.383494,33.427362,50,TRUE,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - name must be a string. Note: send as unquoted true in JSON body
TC_035,Negative,JSON numeric value for name (unquoted 12345 in body),-38.383494,33.427362,50,12345,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - name must be a string. Note: send as unquoted 12345 in JSON body
TC_036,Edge,lat at minimum boundary (-90),-90,33.427362,50,South Pole Station,0,Antarctica,"[""research""]",http://southpole.com,en-US,qaclick123,application/json,200,Place created at south pole
TC_037,Edge,lat at maximum boundary (90),90,33.427362,50,North Pole Station,0,Arctic,"[""research""]",http://northpole.com,en-US,qaclick123,application/json,200,Place created at north pole
TC_038,Edge,lng at minimum boundary (-180),-38.383494,-180,50,Date Line West,(+91) 999 999 9999,International Date Line,"[""landmark""]",http://dateline.com,en-US,qaclick123,application/json,200,Place created at date line
TC_039,Edge,lng at maximum boundary (180),-38.383494,180,50,Date Line East,(+91) 999 999 9999,International Date Line,"[""landmark""]",http://dateline.com,en-US,qaclick123,application/json,200,Place created at date line
TC_040,Edge,lat at zero and lng at zero (Null Island boundary),0,0,100,Null Island Base,0,Middle of Atlantic,"[""landmark""]",http://nullisland.com,en-GB,qaclick123,application/json,200,Place created at coordinates 0 0
TC_041,Edge,lat exceeds minimum boundary (<-90),-91,33.427362,50,Invalid South,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - lat out of valid range
TC_042,Edge,lat exceeds maximum boundary (>90),91,33.427362,50,Invalid North,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - lat out of valid range
TC_043,Edge,lng exceeds minimum boundary (<-180),-38.383494,-181,50,Invalid West,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - lng out of valid range
TC_044,Edge,lng exceeds maximum boundary (>180),-38.383494,181,50,Invalid East,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - lng out of valid range
TC_045,Edge,accuracy = 0 (zero boundary),-38.383494,33.427362,0,Zero Accuracy Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,200,Place created successfully - zero is a valid integer value for accuracy
TC_046,Edge,Very large accuracy value (Integer.MAX_VALUE),-38.383494,33.427362,2147483647,Max Accuracy Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,200,Place created successfully - server should accept any valid integer
TC_047,Edge,Decimal accuracy value,-38.383494,33.427362,50.75,Decimal Accuracy Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,200,Place created - decimal accepted and stored as-is or truncated to integer
TC_048,Edge,Very long name (500+ chars),-38.383494,33.427362,50,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - name exceeds maximum allowed character length
TC_049,Edge,Unicode/emoji in name,-38.383494,33.427362,50,カフェ ☕ 東京,-6834,Tokyo,"[""cafe""]",http://cafe.jp,ja-JP,qaclick123,application/json,200,Place created - server stores unicode and emoji characters correctly
TC_050,Edge,SQL injection attempt in name,-38.383494,33.427362,50,'; DROP TABLE places; --,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,200,Place created with literal string stored as name - no SQL injection executed
TC_051,Edge,XSS injection in website field,-38.383494,33.427362,50,XSS Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com/<script>alert('xss')</script>,en-US,qaclick123,application/json,400,Error - website contains invalid characters. Server must not store unsanitized script tags
TC_052,Edge,HTML injection in address,-38.383494,33.427362,50,HTML Test Place,(+91) 999 999 9999,<h1>Hacked</h1><img src=x onerror=alert(1)>,"[""shop""]",http://test.com,en-US,qaclick123,application/json,200,Place created - address stored as literal text. Verify HTML is not rendered on GET
TC_053,Edge,Empty string for name,-38.383494,33.427362,50,,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - name cannot be empty string
TC_054,Edge,Whitespace-only name,-38.383494,33.427362,50,   ,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - name cannot be only whitespace
TC_055,Edge,Duplicate place creation (idempotency check),-38.383494,33.427362,50,House Of Collab,(+91) 123 456 7890,Secret,"[""shoe park"",""shop""]",http://test.com,en-AED,qaclick123,application/json,200,Place created with a new unique place_id - API allows duplicate entries
TC_056,Edge,Extra unexpected fields in body,-38.383494,33.427362,50,Extra Field Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,200,Place created successfully - server ignores unrecognized fields
TC_057,Edge,Phone number with only special chars,-38.383494,33.427362,50,Special Phone Place,!@#$%^&*,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - invalid phone number format
TC_058,Edge,Extremely long phone number,-38.383494,33.427362,50,Long Phone Place,1.23457E+39,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - phone number exceeds maximum allowed length
TC_059,Edge,Large number of types in array,-38.383494,33.427362,50,Many Types Place,(+91) 999 999 9999,Test Address,"[""type1"",""type2"",""type3"",""type4"",""type5"",""type6"",""type7"",""type8"",""type9"",""type10""]",http://test.com,en-US,qaclick123,application/json,200,Place created successfully - server accepts multiple types in array
TC_060,Edge,Invalid language code format,-38.383494,33.427362,50,Invalid Lang Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,INVALID_LANGUAGE_CODE_THAT_IS_WAY_TOO_LONG,qaclick123,application/json,400,Error - invalid language code format
